Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00054610 s 	 Performance = 0.2400 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00059919 s 	 Throughput = 3.5000 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00059919 s 	 Performance = 0.4375 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00069721 s 	 Throughput = 6.0159 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00069721 s 	 Performance = 0.7520 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00082238 s 	 Throughput = 10.2004 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00082238 s 	 Performance = 1.2750 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00091273 s 	 Throughput = 18.3814 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00091273 s 	 Performance = 2.2977 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00068523 s 	 Throughput = 48.9683 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00068523 s 	 Performance = 6.1210 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00119609 s 	 Throughput = 56.1067 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00119609 s 	 Performance = 7.0133 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00231438 s 	 Throughput = 57.9930 GB/s
