Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00021600 s 	 Throughput = 2.4273 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00015363 s 	 Throughput = 3.4126 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00015770 s 	 Throughput = 3.3247 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00015894 s 	 Throughput = 3.2986 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00017725 s 	 Throughput = 2.9579 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00015923 s 	 Throughput = 3.2926 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00016867 s 	 Throughput = 3.1083 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00023226 s 	 Throughput = 2.2574 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00007462 s 	 Throughput = 14.0515 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00024346 s 	 Throughput = 4.3070 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00016512 s 	 Throughput = 6.3504 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00016822 s 	 Throughput = 6.2332 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00018576 s 	 Throughput = 5.6448 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00018973 s 	 Throughput = 5.5267 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00017466 s 	 Throughput = 6.0037 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00018912 s 	 Throughput = 5.5445 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00024534 s 	 Throughput = 4.2739 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00007750 s 	 Throughput = 27.0586 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00028445 s 	 Throughput = 7.3727 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00019117 s 	 Throughput = 10.9702 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00019210 s 	 Throughput = 10.9172 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00021254 s 	 Throughput = 9.8669 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00023469 s 	 Throughput = 8.9359 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00020288 s 	 Throughput = 10.3369 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00022778 s 	 Throughput = 9.2071 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00025024 s 	 Throughput = 8.3806 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00008688 s 	 Throughput = 48.2770 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00037421 s 	 Throughput = 11.2085 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00023994 s 	 Throughput = 17.4809 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00023565 s 	 Throughput = 17.7990 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00026614 s 	 Throughput = 15.7595 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00031315 s 	 Throughput = 13.3938 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00027034 s 	 Throughput = 15.5152 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00030538 s 	 Throughput = 13.7349 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00027344 s 	 Throughput = 15.3390 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00010768 s 	 Throughput = 77.9031 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00050522 s 	 Throughput = 16.6040 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00025280 s 	 Throughput = 33.1828 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00025987 s 	 Throughput = 32.2798 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00029798 s 	 Throughput = 28.1512 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00036186 s 	 Throughput = 23.1822 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00029302 s 	 Throughput = 28.6277 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00032736 s 	 Throughput = 25.6250 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00037267 s 	 Throughput = 22.5094 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00016742 s 	 Throughput = 100.2080 GB/s
