1834:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00055170 s 	 Throughput = 0.9503 GB/s
1867:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00043644 s 	 Throughput = 1.2013 GB/s
1900:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00047770 s 	 Throughput = 1.0975 GB/s
1933:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00047718 s 	 Throughput = 1.0987 GB/s
1966:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00054073 s 	 Throughput = 0.9696 GB/s
1999:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00042370 s 	 Throughput = 1.2374 GB/s
2032:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00045794 s 	 Throughput = 1.1449 GB/s
2065:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00046946 s 	 Throughput = 1.1168 GB/s
2098:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00015857 s 	 Throughput = 6.6128 GB/s
2131:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00054041 s 	 Throughput = 1.9403 GB/s
2164:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00047110 s 	 Throughput = 2.2258 GB/s
2197:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00051345 s 	 Throughput = 2.0422 GB/s
2230:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00050909 s 	 Throughput = 2.0597 GB/s
2263:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00067030 s 	 Throughput = 1.5643 GB/s
2296:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00046527 s 	 Throughput = 2.2537 GB/s
2329:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00049149 s 	 Throughput = 2.1335 GB/s
2362:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00050317 s 	 Throughput = 2.0839 GB/s
2395:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00018648 s 	 Throughput = 11.2459 GB/s
2428:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00059040 s 	 Throughput = 3.5521 GB/s
2461:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00050435 s 	 Throughput = 4.1582 GB/s
2494:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00053947 s 	 Throughput = 3.8875 GB/s
2527:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00055635 s 	 Throughput = 3.7695 GB/s
2560:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00064589 s 	 Throughput = 3.2469 GB/s
2593:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00049738 s 	 Throughput = 4.2164 GB/s
2626:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00053140 s 	 Throughput = 3.9464 GB/s
2659:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00055996 s 	 Throughput = 3.7452 GB/s
2692:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00026069 s 	 Throughput = 16.0891 GB/s
2725:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00067442 s 	 Throughput = 6.2191 GB/s
2758:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00055507 s 	 Throughput = 7.5564 GB/s
2791:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00035474 s 	 Throughput = 11.8235 GB/s
2824:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00046563 s 	 Throughput = 9.0077 GB/s
2857:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00051517 s 	 Throughput = 8.1416 GB/s
2890:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00056802 s 	 Throughput = 7.3841 GB/s
2923:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00043376 s 	 Throughput = 9.6697 GB/s
2956:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00065108 s 	 Throughput = 6.4421 GB/s
2989:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00050443 s 	 Throughput = 16.6298 GB/s
3022:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00062979 s 	 Throughput = 13.3196 GB/s
3055:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00058071 s 	 Throughput = 14.4454 GB/s
3088:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00062372 s 	 Throughput = 13.4493 GB/s
3121:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00059998 s 	 Throughput = 13.9814 GB/s
