Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00015997 s 	 Throughput = 3.2775 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00017955 s 	 Throughput = 2.9200 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00023286 s 	 Throughput = 2.2515 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00007133 s 	 Throughput = 14.7008 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00023779 s 	 Throughput = 4.4096 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00016010 s 	 Throughput = 6.5497 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00017328 s 	 Throughput = 6.0513 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00017888 s 	 Throughput = 5.8619 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00019818 s 	 Throughput = 5.2911 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00017792 s 	 Throughput = 5.8935 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00019286 s 	 Throughput = 5.4369 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00024419 s 	 Throughput = 4.2941 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00007722 s 	 Throughput = 27.1596 GB/s
Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00028493 s 	 Throughput = 7.3603 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00019392 s 	 Throughput = 10.8145 GB/s
Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00019462 s 	 Throughput = 10.7754 GB/s
Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00020973 s 	 Throughput = 9.9994 GB/s
Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00023510 s 	 Throughput = 8.9201 GB/s
Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00021213 s 	 Throughput = 9.8863 GB/s
Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00023187 s 	 Throughput = 9.0444 GB/s
Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00025302 s 	 Throughput = 8.2884 GB/s
Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00008432 s 	 Throughput = 49.7427 GB/s
