3022:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00065867 s 	 Throughput = 12.7358 GB/s
3055:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00059076 s 	 Throughput = 14.1998 GB/s
3088:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00058783 s 	 Throughput = 14.2705 GB/s
3121:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00061861 s 	 Throughput = 13.5603 GB/s
3154:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00049758 s 	 Throughput = 16.8589 GB/s
3187:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00020142 s 	 Throughput = 41.6482 GB/s
3220:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00022616 s 	 Throughput = 37.0913 GB/s
3253:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00032787 s 	 Throughput = 25.5852 GB/s
3286:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00012767 s 	 Throughput = 131.4077 GB/s
3319:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00047074 s 	 Throughput = 35.6403 GB/s
3352:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00023671 s 	 Throughput = 70.8770 GB/s
3385:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00043455 s 	 Throughput = 38.6081 GB/s
3418:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00029005 s 	 Throughput = 57.8417 GB/s
3451:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00036083 s 	 Throughput = 46.4957 GB/s
3484:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00023626 s 	 Throughput = 71.0117 GB/s
3517:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00025554 s 	 Throughput = 65.6542 GB/s
3550:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00049541 s 	 Throughput = 33.8650 GB/s
3583:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00032237 s 	 Throughput = 104.0880 GB/s
3616:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00072902 s 	 Throughput = 46.0265 GB/s
3649:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00030443 s 	 Throughput = 110.2194 GB/s
3682:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00032486 s 	 Throughput = 103.2879 GB/s
3715:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00059176 s 	 Throughput = 56.7027 GB/s
3748:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00049542 s 	 Throughput = 67.7291 GB/s
3781:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00035741 s 	 Throughput = 93.8814 GB/s
3814:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00037405 s 	 Throughput = 89.7048 GB/s
3847:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00109998 s 	 Throughput = 30.5046 GB/s
3880:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00034072 s 	 Throughput = 196.9637 GB/s
3913:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00130022 s 	 Throughput = 51.6135 GB/s
3946:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00041897 s 	 Throughput = 160.1758 GB/s
3979:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00044729 s 	 Throughput = 150.0350 GB/s
4012:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00050998 s 	 Throughput = 131.5912 GB/s
4045:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00076337 s 	 Throughput = 87.9109 GB/s
4078:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00042154 s 	 Throughput = 159.1993 GB/s
4111:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00044204 s 	 Throughput = 151.8159 GB/s
4144:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00162541 s 	 Throughput = 41.2873 GB/s
4177:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00063899 s 	 Throughput = 210.0467 GB/s
4210:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00238220 s 	 Throughput = 56.3420 GB/s
4243:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00068310 s 	 Throughput = 196.4830 GB/s
4276:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00069613 s 	 Throughput = 192.8067 GB/s
4309:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00078636 s 	 Throughput = 170.6821 GB/s
4342:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00139257 s 	 Throughput = 96.3817 GB/s
4375:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00070225 s 	 Throughput = 191.1256 GB/s
4408:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00071600 s 	 Throughput = 187.4562 GB/s
4441:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00392863 s 	 Throughput = 34.1640 GB/s
4474:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00139157 s 	 Throughput = 192.9009 GB/s
4507:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00483990 s 	 Throughput = 55.4630 GB/s
4540:Alg = 2 	 NbFPE = 2 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00129560 s 	 Throughput = 207.1898 GB/s
4573:Alg = 2 	 NbFPE = 3 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00128041 s 	 Throughput = 209.6477 GB/s
4606:Alg = 2 	 NbFPE = 4 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00141104 s 	 Throughput = 190.2389 GB/s
4639:Alg = 2 	 NbFPE = 8 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00240929 s 	 Throughput = 111.4171 GB/s
4672:Alg = 3 	 NbFPE = 4 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00133720 s 	 Throughput = 200.7447 GB/s
4705:Alg = 5 	 NbFPE = 8 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00133891 s 	 Throughput = 200.4876 GB/s
4738:Alg = 6 	 NbFPE = 2 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00843318 s 	 Throughput = 31.8309 GB/s
4771:Alg = 0 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00250230 s 	 Throughput = 214.5513 GB/s
4804:Alg = 1 	 NbFPE = 0 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01036924 s 	 Throughput = 51.7754 GB/s
