Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00057917 s 	 Throughput = 3.6209 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00079692 s 	 Throughput = 5.2632 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00078372 s 	 Throughput = 10.7036 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00039957 s 	 Throughput = 41.9880 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00038677 s 	 Throughput = 86.7560 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00055346 s 	 Throughput = 121.2538 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00084977 s 	 Throughput = 157.9456 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00130659 s 	 Throughput = 205.4469 GB/s
Alg = 1 	 NbFPE = 4 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00235413 s 	 Throughput = 228.0550 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00062975 s 	 Throughput = 0.0130 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00056139 s 	 Throughput = 0.0292 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00057563 s 	 Throughput = 0.0569 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00062935 s 	 Throughput = 0.1041 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00058681 s 	 Throughput = 0.2234 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00058865 s 	 Throughput = 0.4453 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00068107 s 	 Throughput = 0.7698 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00049835 s 	 Throughput = 2.1041 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00058051 s 	 Throughput = 3.6126 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00067821 s 	 Throughput = 6.1844 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00075050 s 	 Throughput = 11.1773 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00074113 s 	 Throughput = 22.6374 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00043964 s 	 Throughput = 76.3229 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00061631 s 	 Throughput = 108.8882 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00089057 s 	 Throughput = 150.7094 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00149191 s 	 Throughput = 179.9276 GB/s
Alg = 1 	 NbFPE = 5 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00276247 s 	 Throughput = 194.3444 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 1024 	 Size = 8192 	 Time = 0.00056472 s 	 Throughput = 0.0145 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 2048 	 Size = 16384 	 Time = 0.00056923 s 	 Throughput = 0.0288 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 4096 	 Size = 32768 	 Time = 0.00058381 s 	 Throughput = 0.0561 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 8192 	 Size = 65536 	 Time = 0.00059400 s 	 Throughput = 0.1103 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 16384 	 Size = 131072 	 Time = 0.00057022 s 	 Throughput = 0.2299 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 32768 	 Size = 262144 	 Time = 0.00059552 s 	 Throughput = 0.4402 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 65536 	 Size = 524288 	 Time = 0.00067401 s 	 Throughput = 0.7779 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 131072 	 Size = 1048576 	 Time = 0.00058972 s 	 Throughput = 1.7781 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 262144 	 Size = 2097152 	 Time = 0.00065375 s 	 Throughput = 3.2079 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 524288 	 Size = 4194304 	 Time = 0.00065479 s 	 Throughput = 6.4056 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 1048576 	 Size = 8388608 	 Time = 0.00090942 s 	 Throughput = 9.2241 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 2097152 	 Size = 16777216 	 Time = 0.00068849 s 	 Throughput = 24.3681 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 4194304 	 Size = 33554432 	 Time = 0.00062087 s 	 Throughput = 54.0439 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 8388608 	 Size = 67108864 	 Time = 0.00086469 s 	 Throughput = 77.6101 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 16777216 	 Size = 134217728 	 Time = 0.00127138 s 	 Throughput = 105.5690 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 33554432 	 Size = 268435456 	 Time = 0.00218367 s 	 Throughput = 122.9287 GB/s
Alg = 1 	 NbFPE = 6 	 Range = 1 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.00385984 s 	 Throughput = 139.0916 GB/s
