Alg = 2 	 NbFPE = 2 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01953345 s 	 Throughput = 54.9694 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 40 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01953345 s 	 Performance = 6.8712 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01945851 s 	 Throughput = 55.1811 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 50 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01945851 s 	 Performance = 6.8976 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01942934 s 	 Throughput = 55.2639 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 60 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01942934 s 	 Performance = 6.9080 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01947764 s 	 Throughput = 55.1269 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 70 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01947764 s 	 Performance = 6.8909 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01944231 s 	 Throughput = 55.2271 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 80 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01944231 s 	 Performance = 6.9034 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01939097 s 	 Throughput = 55.3733 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01939097 s 	 Performance = 6.9217 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01938401 s 	 Throughput = 55.3932 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01938401 s 	 Performance = 6.9241 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01923656 s 	 Throughput = 55.8178 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.01923656 s 	 Performance = 6.9772 GFLOPS
