Alg = 2 	 NbFPE = 2 	 Range = 90 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03666467 s 	 Performance = 3.6607 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03558403 s 	 Throughput = 30.1748 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 100 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03558403 s 	 Performance = 3.7719 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03359552 s 	 Throughput = 31.9609 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 150 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03359552 s 	 Performance = 3.9951 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03108877 s 	 Throughput = 34.5379 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 200 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.03108877 s 	 Performance = 4.3172 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02941629 s 	 Throughput = 36.5016 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 250 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02941629 s 	 Performance = 4.5627 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02836800 s 	 Throughput = 37.8505 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 300 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02836800 s 	 Performance = 4.7313 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02771629 s 	 Throughput = 38.7405 GB/s
Alg = 2 	 NbFPE = 2 	 Range = 400 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02771629 s 	 Performance = 4.8426 GFLOPS
Alg = 2 	 NbFPE = 2 	 Range = 500 	 NbElements = 67108864 	 Size = 536870912 	 Time = 0.02759421 s 	 Throughput = 38.9119 GB/s
